title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/lokesh99b/Todo_Web_app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/lokesh99b/PortfolioApp;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://pythonhow.com;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/lokesh99b/PDF_Invoices_App;4.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/lokesh99b/Weather_API;5.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/lokesh99b/Music_Event_Scraper;6.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/lokesh99b/Webcam_Monitoring_App;7.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/lokesh99b/WeatherForecast;8.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/lokesh99b/Student_Management_System;9.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/lokesh99b/Restaurant_Web_App;10.png